product,year,dataset,status,issue_type,db_available,recommended_next_task
b,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2022,trading_parameters,covered_passed,,True,
b,2022,trading_calendar,covered_passed,,True,
b,2022,trading_sessions,covered_passed,,True,
b,2023,main_contract_map_rank1,covered_passed,,True,
b,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
b,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2023,trading_parameters,covered_passed,,True,
b,2023,trading_calendar,covered_passed,,True,
b,2023,trading_sessions,covered_passed,,True,
b,2024,main_contract_map_rank1,covered_passed,,True,
b,2024,contract_universe,covered_passed,,True,
b,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2024,trading_parameters,covered_passed,,True,
b,2024,trading_calendar,covered_passed,,True,
b,2024,trading_sessions,covered_passed,,True,
b,2025,main_contract_map_rank1,covered_passed,,True,
b,2025,contract_universe,covered_passed,,True,
b,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2025,trading_parameters,covered_passed,,True,
b,2025,trading_calendar,covered_passed,,True,
b,2025,trading_sessions,covered_passed,,True,
b,2026,main_contract_map_rank1,covered_passed,,True,
b,2026,contract_universe,covered_passed,,True,
b,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2026,trading_parameters,covered_passed,,True,
b,2026,trading_calendar,covered_passed,,True,
b,2026,trading_sessions,covered_passed,,True,
bb,2020,main_contract_map_rank1,covered_passed,,True,
bb,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bb,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2020,trading_parameters,covered_passed,,True,
bb,2020,trading_calendar,covered_passed,,True,
bb,2020,trading_sessions,covered_passed,,True,
bb,2021,main_contract_map_rank1,covered_passed,,True,
bb,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bb,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2021,trading_parameters,covered_passed,,True,
bb,2021,trading_calendar,covered_passed,,True,
bb,2021,trading_sessions,covered_passed,,True,
bb,2022,main_contract_map_rank1,covered_passed,,True,
bb,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bb,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2022,trading_parameters,covered_passed,,True,
bb,2022,trading_calendar,covered_passed,,True,
bb,2022,trading_sessions,covered_passed,,True,
bb,2023,main_contract_map_rank1,covered_passed,,True,
bb,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bb,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2023,trading_parameters,covered_passed,,True,
bb,2023,trading_calendar,covered_passed,,True,
bb,2023,trading_sessions,covered_passed,,True,
bb,2024,main_contract_map_rank1,covered_passed,,True,
bb,2024,contract_universe,covered_passed,,True,
bb,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2024,trading_parameters,covered_passed,,True,
bb,2024,trading_calendar,covered_passed,,True,
bb,2024,trading_sessions,covered_passed,,True,
bb,2025,main_contract_map_rank1,covered_passed,,True,
bb,2025,contract_universe,covered_passed,,True,
bb,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2025,trading_parameters,covered_passed,,True,
bb,2025,trading_calendar,covered_passed,,True,
bb,2025,trading_sessions,covered_passed,,True,
bb,2026,main_contract_map_rank1,covered_passed,,True,
bb,2026,contract_universe,covered_passed,,True,
bb,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bb,2026,trading_parameters,covered_passed,,True,
bb,2026,trading_calendar,covered_passed,,True,
bb,2026,trading_sessions,covered_passed,,True,
bc,2020,main_contract_map_rank1,covered_passed,,True,
bc,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bc,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2020,trading_parameters,covered_passed,,True,
bc,2020,trading_calendar,covered_passed,,True,
bc,2020,trading_sessions,covered_passed,,True,
bc,2021,main_contract_map_rank1,covered_passed,,True,
bc,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bc,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2021,trading_parameters,covered_passed,,True,
bc,2021,trading_calendar,covered_passed,,True,
bc,2021,trading_sessions,covered_passed,,True,
bc,2022,main_contract_map_rank1,covered_passed,,True,
bc,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bc,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2022,trading_parameters,covered_passed,,True,
bc,2022,trading_calendar,covered_passed,,True,
bc,2022,trading_sessions,covered_passed,,True,
bc,2023,main_contract_map_rank1,covered_passed,,True,
bc,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bc,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2023,trading_parameters,covered_passed,,True,
bc,2023,trading_calendar,covered_passed,,True,
bc,2023,trading_sessions,covered_passed,,True,
bc,2024,main_contract_map_rank1,covered_passed,,True,
bc,2024,contract_universe,covered_passed,,True,
bc,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2024,trading_parameters,covered_passed,,True,
bc,2024,trading_calendar,covered_passed,,True,
bc,2024,trading_sessions,covered_passed,,True,
bc,2025,main_contract_map_rank1,covered_passed,,True,
bc,2025,contract_universe,covered_passed,,True,
bc,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2025,trading_parameters,covered_passed,,True,
bc,2025,trading_calendar,covered_passed,,True,
bc,2025,trading_sessions,covered_passed,,True,
bc,2026,main_contract_map_rank1,covered_passed,,True,
bc,2026,contract_universe,covered_passed,,True,
bc,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bc,2026,trading_parameters,covered_passed,,True,
bc,2026,trading_calendar,covered_passed,,True,
bc,2026,trading_sessions,covered_passed,,True,
br,2020,main_contract_map_rank1,not_applicable,not_applicable,True,
br,2020,contract_universe,not_applicable,not_applicable,True,
br,2020,continuous_contract_map,not_applicable,not_applicable,True,
br,2020,trading_parameters,not_applicable,not_applicable,True,
br,2020,trading_calendar,not_applicable,not_applicable,True,
br,2020,trading_sessions,not_applicable,not_applicable,True,
br,2021,main_contract_map_rank1,not_applicable,not_applicable,True,
br,2021,contract_universe,not_applicable,not_applicable,True,
br,2021,continuous_contract_map,not_applicable,not_applicable,True,
br,2021,trading_parameters,not_applicable,not_applicable,True,
br,2021,trading_calendar,not_applicable,not_applicable,True,
br,2021,trading_sessions,not_applicable,not_applicable,True,
br,2022,main_contract_map_rank1,not_applicable,not_applicable,True,
br,2022,contract_universe,not_applicable,not_applicable,True,
br,2022,continuous_contract_map,not_applicable,not_applicable,True,
br,2022,trading_parameters,not_applicable,not_applicable,True,
br,2022,trading_calendar,not_applicable,not_applicable,True,
br,2022,trading_sessions,not_applicable,not_applicable,True,
br,2023,main_contract_map_rank1,covered_passed,,True,
br,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
br,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
br,2023,trading_parameters,covered_passed,,True,
br,2023,trading_calendar,covered_passed,,True,
br,2023,trading_sessions,covered_passed,,True,
br,2024,main_contract_map_rank1,covered_passed,,True,
br,2024,contract_universe,covered_passed,,True,
br,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
br,2024,trading_parameters,covered_passed,,True,
br,2024,trading_calendar,covered_passed,,True,
br,2024,trading_sessions,covered_passed,,True,
br,2025,main_contract_map_rank1,covered_passed,,True,
br,2025,contract_universe,covered_passed,,True,
br,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
br,2025,trading_parameters,covered_passed,,True,
br,2025,trading_calendar,covered_passed,,True,
br,2025,trading_sessions,covered_passed,,True,
br,2026,main_contract_map_rank1,covered_passed,,True,
br,2026,contract_universe,covered_passed,,True,
br,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
br,2026,trading_parameters,covered_passed,,True,
br,2026,trading_calendar,covered_passed,,True,
br,2026,trading_sessions,covered_passed,,True,
bu,2020,main_contract_map_rank1,covered_passed,,True,
bu,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
bu,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
bu,2020,trading_parameters,covered_passed,,True,
bu,2020,trading_calendar,covered_passed,,True,
